TimeStamp,SubTest,Step,Target.X,Target.Y,LeftPupil.X,LeftPupil.Y,RightPupil.X,RightPupil.Y,slno,TimeMillis,velocity_left,velocity_right,distance_left,distance_right,net_distance_left,net_distance_right,fixation_left,fixation_right
11800,0,-1,0,5e-324,-32.464900970459,56.6570014953613,-31.4242248535156,31.1650543212891,295,11.8,13.174533843994725,13.02752494811964,0.5269813537598012,0.5211009979247976,0.5269813537598012,0.5211009979247976,1,1
11840,0,-1,0,5e-324,-32.0506782531738,54.93229675292971,-31.12385940551761,28.7135162353516,296,11.84,10.355567932130192,7.509136199949911,0.4142227172851989,0.30036544799799003,0.4142227172851989,0.30036544799799003,1,1
11880,0,-1,0,5e-324,-31.8998146057129,51.9759292602539,-30.80571174621581,25.8483505249023,297,11.88,3.7715911865223735,7.953691482544827,0.15086364746089842,0.31814765930180045,0.15086364746089842,0.31814765930180045,1,1
11920,0,-1,0,5e-324,-30.2811069488525,51.4601936340332,-28.7784767150879,25.9161701202393,298,11.92,40.46769142151089,50.68087577819879,1.6187076568604013,2.0272350311279084,1.6187076568604013,2.0272350311279084,0,0
11960,0,-1,0,5e-324,-30.6777076721191,51.9709358215332,-29.9784317016602,25.054998397827106,299,11.96,9.91501808166481,29.998874664306747,0.39660072326660156,1.1999549865722976,-0.39660072326660156,-1.1999549865722976,1,0
12000,0,-1,0,5e-324,-31.8175315856934,51.7889518737793,-30.919776916503896,23.984249114990202,300,12.0,28.49559783935803,23.53363037109292,1.139823913574297,0.9413452148436967,-1.139823913574297,-0.9413452148436967,0,0
12040,0,-1,0,5e-324,-32.2403602600098,53.1181030273438,-31.148292541503896,25.3027667999268,301,12.04,10.570716857910293,5.712890625000122,0.4228286743164027,0.228515625,-0.4228286743164027,-0.228515625,1,1
12080,0,-1,0,5e-324,-32.0774574279785,55.5341186523438,-30.9501781463623,27.264820098877,302,12.08,4.072570800782399,4.952859878539747,0.16290283203129974,0.19811439514159446,0.16290283203129974,0.19811439514159446,1,1
12120,0,-1,0,5e-324,-32.740386962890604,57.273441314697294,-32.255786895752,29.486988067627,303,12.12,16.57323837280291,32.640218734743236,0.6629295349121023,1.3056087493897017,-0.6629295349121023,-1.3056087493897017,1,0
12160,0,-1,0,5e-324,-33.278732299804695,60.30415344238279,-32.3024559020996,33.520904541015604,304,12.16,13.458633422851962,1.1667251586899583,0.5383453369140909,0.04666900634759941,-0.5383453369140909,-0.04666900634759941,1,1
12200,0,-1,0,5e-324,-33.4124717712402,62.9350471496582,-32.251369476318395,35.69321823120121,305,12.2,3.343486785887677,1.2771606445302115,0.13373947143550424,0.05108642578120737,-0.13373947143550424,0.05108642578120737,1,1
12240,0,-1,0,5e-324,-33.2468299865723,64.5271072387695,-31.915901184082,36.936973571777294,306,12.24,4.1410446166973465,8.386707305909697,0.1656417846678977,0.3354682922363956,0.1656417846678977,0.3354682922363956,1,1
12280,0,-1,0,5e-324,-32.4399833679199,65.97970581054689,-29.2781810760498,38.937690734863295,307,12.28,20.171165466310445,65.94300270080636,0.8068466186524006,2.637720108032198,0.8068466186524006,2.637720108032198,0,0
12320,0,-1,0,5e-324,-29.2787780761719,68.00430297851561,-27.705434799194304,40.45554733276371,308,12.32,79.03013229369819,39.31865692138652,3.1612052917480007,1.5727462768554972,3.1612052917480007,1.5727462768554972,0,0
12360,0,-1,0,5e-324,-29.44856071472169,68.29372406005861,-27.6762771606445,41.2829551696777,309,12.36,4.2445659637448525,0.7289409637451327,0.16978263854979048,0.029157638549804688,-0.16978263854979048,0.029157638549804688,1,1
12400,0,-1,0,5e-324,-29.192083358764602,68.53794097900389,-27.243604660034197,40.85898971557621,310,12.4,6.411933898927054,10.816812515257295,0.2564773559570881,0.4326725006103018,0.2564773559570881,0.4326725006103018,1,1
